sample_index,peer_replicas,network_latency_ms,network_latency_jitter_ms,process_start_us,logging_initialized_us,config_loaded_us,replica_with_config_completed_us,replica_task_spawned_us,crdt_pid_set_us,http_server_ready_us,network_manager_ready_us,metric_writer_ready_us,object_storage_client_start_us,object_storage_client_ready_us,replica_run_start_us,replica_init_start_us,persistent_state_fetch_completed_us,membership_descriptor_write_completed_us,membership_directory_read_completed_us,replica_init_completed_us,logging_initialized_delta_us,config_loaded_delta_us,replica_with_config_completed_delta_us,replica_task_spawned_delta_us,crdt_pid_set_delta_us,http_server_ready_delta_us,network_manager_ready_delta_us,metric_writer_ready_delta_us,object_storage_client_start_delta_us,object_storage_client_ready_delta_us,replica_run_start_delta_us,replica_init_start_delta_us,persistent_state_fetch_completed_delta_us,membership_descriptor_write_completed_delta_us,membership_directory_read_completed_delta_us,replica_init_completed_delta_us,sample_dir,persistent_path,membership_path
22,1,0,0,1778233426942306,1778233426942330,1778233426942356,1778233427283850,1778233427283861,1778233426942364,1778233426942433,1778233426942473,1778233426942651,1778233426942651,1778233427283846,1778233427283890,1778233427283908,1778233427343756,1778233427346892,1778233427370211,1778233427370264,24,50,341544,341555,58,127,167,345,345,341540,341584,341602,401450,404586,427905,427958,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_022,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
23,1,0,0,1778233429776477,1778233429776500,1778233429776539,1778233430107108,1778233430107131,1778233429776544,1778233429776613,1778233429776649,1778233429776820,1778233429776820,1778233430107087,1778233430107161,1778233430107210,1778233430170089,1778233430177795,1778233430200734,1778233430200783,23,62,330631,330654,67,136,172,343,343,330610,330684,330733,393612,401318,424257,424306,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_023,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
24,1,0,0,1778233432789594,1778233432789620,1778233432789644,1778233433137624,1778233433137634,1778233432789649,1778233432789720,1778233432789760,1778233432789966,1778233432789966,1778233433137619,1778233433137668,1778233433137687,1778233433189933,1778233433195340,1778233433215930,1778233433215977,26,50,348030,348040,55,126,166,372,372,348025,348074,348093,400339,405746,426336,426383,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_024,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
25,1,0,0,1778233435727008,1778233435727035,1778233435727061,1778233436074032,1778233436074043,1778233435727070,1778233435727140,1778233435727176,1778233435727378,1778233435727378,1778233436074026,1778233436074077,1778233436074097,1778233436137510,1778233436140792,1778233436164013,1778233436164064,27,53,347024,347035,62,132,168,370,370,347018,347069,347089,410502,413784,437005,437056,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_025,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
26,1,0,0,1778233438572867,1778233438572893,1778233438572915,1778233438922355,1778233438922364,1778233438572920,1778233438573029,1778233438573089,1778233438573352,1778233438573353,1778233438922350,1778233438922392,1778233438922407,1778233438989130,1778233439006395,1778233439032714,1778233439032787,26,48,349488,349497,53,162,222,485,486,349483,349525,349540,416263,433528,459847,459920,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_026,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
27,1,0,0,1778233441298277,1778233441298298,1778233441298317,1778233441614378,1778233441614388,1778233441298321,1778233441298380,1778233441298406,1778233441298552,1778233441298552,1778233441614373,1778233441614452,1778233441614469,1778233441673727,1778233441688699,1778233441711903,1778233441711952,21,40,316101,316111,44,103,129,275,275,316096,316175,316192,375450,390422,413626,413675,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_027,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
28,1,0,0,1778233444137947,1778233444137970,1778233444137990,1778233444474346,1778233444474356,1778233444137994,1778233444138051,1778233444138080,1778233444138235,1778233444138235,1778233444474341,1778233444474387,1778233444474403,1778233444535214,1778233444542652,1778233444567845,1778233444567893,23,43,336399,336409,47,104,133,288,288,336394,336440,336456,397267,404705,429898,429946,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_028,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
29,1,0,0,1778233447039436,1778233447039461,1778233447039484,1778233447382854,1778233447382864,1778233447039489,1778233447039560,1778233447039597,1778233447039790,1778233447039790,1778233447382850,1778233447382887,1778233447382932,1778233447441517,1778233447454268,1778233447476174,1778233447476234,25,48,343418,343428,53,124,161,354,354,343414,343451,343496,402081,414832,436738,436798,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_029,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
30,1,0,0,1778233449845381,1778233449845413,1778233449845436,1778233450193053,1778233450193066,1778233449845441,1778233449845509,1778233449845541,1778233449845715,1778233449845716,1778233450193047,1778233450193116,1778233450193139,1778233450243815,1778233450270582,1778233450295696,1778233450295751,32,55,347672,347685,60,128,160,334,335,347666,347735,347758,398434,425201,450315,450370,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_030,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
31,1,0,0,1778233452740394,1778233452740421,1778233452740445,1778233453086865,1778233453086875,1778233452740454,1778233452740527,1778233452740567,1778233452740770,1778233452740770,1778233453086859,1778233453086911,1778233453086929,1778233453143733,1778233453139244,1778233453165379,1778233453165422,27,51,346471,346481,60,133,173,376,376,346465,346517,346535,403339,398850,424985,425028,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_031,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
